feature,missing_ratio,mean,std,skew,kurtosis,outlier_ratio_iqr
X1,0.233447671692619,1.0003782889186632,0.020515296546871137,65.34735752045887,4836.63322630676,0.0644572218246428
X10,0.233447671692619,481995741705.7011,26756527274043.984,46.613178060037875,2587.386645433738,0.020050341781210672
X100,0.23292944747427388,0.00355016918230986,0.013075458300339458,-0.5865749979221525,3.8373857246823,0.01852034646990598
X101,0.23292944747427388,-0.0007866939325635109,0.016204941760193246,-0.5444248208922723,14.861871789120768,0.019507440219134812
X102,0.23292944747427388,-2.035451853112836,19.619037894035287,-0.2172604574043935,2.44964104288593,0.011191175381881894
X103,0.23292944747427388,-0.00024340713062000178,0.004147785659192528,-3.6294942731951787,280.9329101212087,0.05810280581398218
X104,0.23292944747427388,-0.00022387593452271893,0.007679401823988836,-9.093009271942075,595.8758466545225,0.057498210892579525
X105,0.23292944747427388,-0.0002504251845691773,0.004564925215734647,-7.559026065897222,282.86733548954345,0.05643708511215853
X106,0.23292944747427388,-0.000730431577806554,0.003650961849959369,-1.588952186066666,29.30523986178106,0.0799175776719394
X107,0.23292944747427388,-0.0007299725391280091,0.009776131800863256,-0.4094619338847393,39.36521711658073,0.09308294055227895
X108,0.23292944747427388,1027771285322.6176,51019045440981.05,46.77921837515574,2364.94351745193,0.021617353108111442
X109,0.23292944747427388,3225334.5544349425,105509071.64609393,36.570150968971575,1401.1567623390495,0.08637070305752288
X11,0.233447671692619,0.00029976202023439475,0.0012791351924229914,0.13695964904104446,2.2248031247778823,0.031167485131900402
X110,0.23292944747427388,3225334.569836808,63990259.92518286,22.15516049854772,513.1548967109279,0.08328603509118279
X111,0.23292944747427388,3225334.607805248,624483362.0123744,216.58416746953597,49205.34294387495,0.08834489055598055
X112,0.23292944747427388,3225334.610621391,89043724.30428974,34.723663188635044,1347.7474546425808,0.08532191594896725
X113,0.23292944747427388,0.004551343320978647,0.010676820607069946,26.56923055639498,981.7444971813978,0.04304962613824248
X114,0.23292944747427388,0.01293632713284689,0.0061667608763967515,1.0227224871177676,3.0077109407016938,0.02840362263405967
X115,0.23292944747427388,0.012911279912668314,0.005747107943720789,0.7578586095426867,1.828785284914174,0.0328208671618587
X116,0.23292944747427388,-0.006394517297564053,0.017429162227048062,-0.35537919030128357,3.239932483252365,0.01733583397083138
X117,0.23292944747427388,-0.006326302236926121,0.021679130073791967,-0.2904783712770428,3.7085738161743,0.01794042889223404
X118,0.23292944747427388,-0.1977487274347237,0.13117838083191258,-0.9583121621679422,2.46760044438187,0.015583742565950201
X119,0.23292944747427388,-0.1968880105878439,0.13327318607701694,-1.011564851146849,2.625222598938768,0.01612664412802606
X12,0.233447671692619,-0.00021298353310305284,0.001457018004486831,0.3598894027832644,2.8680106286379075,0.03618932458110209
X120,0.23292944747427388,-2.5010245376745255,32.255975275501115,-2.953679119216754,124.61363093771364,0.1648199787774844
X121,0.23292944747427388,-7928336128.6045475,396427270066.2047,-34.087290038813855,1624.5156807572432,0.03681859684623547
X122,0.23292944747427388,-8712876368.916206,310766562729.78,-30.81837868409405,1163.0544682447835,0.04096439059299657
X123,0.23292944747427388,0.997090518778911,0.03163065264714926,-14.775948521240407,246.47114588274493,0.04255607926362806
X124,0.23292944747427388,-0.3044191332412579,5.971969385794875,-0.007206147911110113,0.20052217072892375,0.007958443353157466
X125,0.23292944747427388,-273715.56382885674,12242556.459460739,-53.792191910277495,3103.0340528611027,0.015299953113046912
X126,0.23292944747427388,-273715.56911353185,9010386.713828644,-39.5877533518211,1679.9570953010502,0.017298817955235298
X127,0.23292944747427388,45827091609005.695,520138856125396.3,19.01759327549581,424.9754501157892,0.14803938504059422
X128,0.2457246501986526,0.002012040061712755,0.034270772627970555,0.6250537416022448,5.748792009111865,0.03934802457863436
X129,0.2457246501986526,-0.07753891015637074,0.16192664230178547,0.000851570442213602,0.12662061661019086,0.006119981245218765
